dataset_id;geocat_id
ch.are.agglomerationsverkehr;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb
ch.are.alpenkonvention;8698bf0b-fceb-4f0f-989b-111e7c4af0a4
ch.are.bauzonen;055192b1-c378-4e66-8d43-c926f0be7980
ch.are.belastung-gueterverkehr-bahn;f254b380-3652-4a64-82f4-6cd42fd8f6cc
ch.are.belastung-gueterverkehr-strasse;8f35a393-5ee2-44b5-a68e-8d820e968054
ch.are.belastung-personenverkehr-bahn;6fa32c65-988d-4e09-8034-6c5abcbd4e3f
ch.are.belastung-personenverkehr-bahn_zukunft;8f947ac4-0334-4065-a55f-2563b39cd6ed
ch.are.belastung-personenverkehr-strasse;4540e0db-04c7-4509-b809-11542e7acba9
ch.are.belastung-personenverkehr-strasse_zukunft;5cd6d93e-3fbc-4ce9-b32b-136affb6baca
ch.are.erreichbarkeit-miv;f0835478-07fc-4e12-bf48-51646a59c809
ch.are.erreichbarkeit-oev;e3437f64-68e1-4b07-ae35-22597ca89cc2
ch.are.gemeindetypen;c967f055-9482-4bcb-a1bb-8de7971e7293
ch.are.gueteklassen_oev;61a79435-b986-495e-b3ea-fe97c4abd558
ch.are.landschaftstypen;27a33007-d187-41d9-97b7-6dc733a06e9b
ch.are.reisezeit-agglomerationen-miv;d23ebfb6-00a4-44d6-8463-4d34d57a5ff4
ch.are.reisezeit-agglomerationen-oev;333489d5-6ea1-468d-b1d5-bd213d9f1d0b
ch.are.reisezeit-miv;aee88d88-6fa6-445c-8d4d-5b40f592436b
ch.are.reisezeit-oev;b8193af2-bc91-4baa-92aa-64c6cbccb4a8
ch.are.windenergie-bundesinteressen;171a7520-27b2-4a60-9251-acf9b450d6b6
ch.are.wohnungsinventar-zweitwohnungsanteil;ed80ebde-99a0-4523-bc8a-4ec23426d966
ch.astra.baulinien-nationalstrassen;fce3b347-cc58-4b29-bb87-a35eed4487ea
ch.astra.hauptstrassennetz;c1333de6-fb91-4b0b-be95-8eab89b05358
ch.astra.ivs-gelaendekarte;c99e4a84-b340-4c83-ad3f-f5bcb15a1bf1
ch.astra.ivs-nat;70b6e2ac-c7ea-4699-a22e-65792aa3b0b9
ch.astra.ivs-nat_abgrenzungen;aab3c0bf-bfa3-48e0-84d7-1a7b86e04509
ch.astra.ivs-nat-verlaeufe;8c750eb5-d781-4b14-8dee-3d8943b04465
ch.astra.ivs-nat_wegbegleiter;3cf031e4-eef0-4c14-8bed-d132393dd4bc
ch.astra.ivs-reg_loc;f59f9e16-1f67-47bf-ade0-fcce715ce6fe
ch.astra.mountainbikeland;d4f1ebde-f999-4c56-b4a5-7ec8720a4052
ch.astra.mountainbikeland-sperrungen_umleitungen;fa5f0dfb-162f-4b83-828c-7b880ad5e972
ch.astra.nationalstrassenachsen;cc9bb928-851d-4ecd-8dd8-ba6abcad19a4
ch.astra.sachplan-infrastruktur-strasse_anhoerung;46c85a17-1248-46b9-bf9c-3a6c7415f74a
